combination,average_correlation
1-999,0.0714835244597306
"1,000-5,000",0.027593445664129506
"5,001-10,000",-0.41329387658542155
"10,001-15,000",-0.5509850292332513
"15,001-20,000",-0.22512293647792064
"1-999, 1,000-5,000",0.02542618895760788
"1-999, 5,001-10,000",-0.4064657275756949
"1-999, 10,001-15,000",-0.5197523959016448
"1-999, 15,001-20,000",-0.20574529776250927
"1,000-5,000, 5,001-10,000",-0.09661115183736797
"1,000-5,000, 10,001-15,000",-0.09910599745850211
"1,000-5,000, 15,001-20,000",-0.028393917110962057
"5,001-10,000, 10,001-15,000",-0.4977270360978342
"5,001-10,000, 15,001-20,000",-0.3884428566485872
"10,001-15,000, 15,001-20,000",-0.4848734682127961
"1-999, 1,000-5,000, 5,001-10,000",-0.10124501026817308
"1-999, 1,000-5,000, 10,001-15,000",-0.09863426042477887
"1-999, 1,000-5,000, 15,001-20,000",-0.030940738936422116
"1-999, 5,001-10,000, 10,001-15,000",-0.489474759508492
"1-999, 5,001-10,000, 15,001-20,000",-0.38320590600181376
"1-999, 10,001-15,000, 15,001-20,000",-0.4593167602102626
"1,000-5,000, 5,001-10,000, 10,001-15,000",-0.18475575970679345
"1,000-5,000, 5,001-10,000, 15,001-20,000",-0.12872811055827735
"1,000-5,000, 10,001-15,000, 15,001-20,000",-0.13531170121909217
"5,001-10,000, 10,001-15,000, 15,001-20,000",-0.46263827578763106
"1-999, 1,000-5,000, 5,001-10,000, 10,001-15,000",-0.185547268589964
"1-999, 1,000-5,000, 5,001-10,000, 15,001-20,000",-0.13205404741677104
"1-999, 1,000-5,000, 10,001-15,000, 15,001-20,000",-0.1325367414772646
"1-999, 5,001-10,000, 10,001-15,000, 15,001-20,000",-0.45371854625803204
"1,000-5,000, 5,001-10,000, 10,001-15,000, 15,001-20,000",-0.20425038533106615
"1-999, 1,000-5,000, 5,001-10,000, 10,001-15,000, 15,001-20,000",-0.2041758400870247
